name,latitude,longitude,wkt,street,side,length_m,est_spaces,zone
Northwest 18th Street (right),25.7929318,-80.1961994,"POLYGON((-80.1957370 25.7929649, -80.1966630 25.7929219, -80.1966617 25.7928986, -80.1957357 25.7929416, -80.1957370 25.7929649))",Northwest 18th Street,right,92.9,11,
Northwest 18th Street (left),25.7928126,-80.1971549,"POLYGON((-80.1966589 25.7928394, -80.1976519 25.7928091, -80.1976510 25.7927857, -80.1966580 25.7928160, -80.1966589 25.7928394))",Northwest 18th Street,left,99.6,12,
Northwest 18th Street (right),25.7928951,-80.1971581,"POLYGON((-80.1966620 25.7929220, -80.1976550 25.7928917, -80.1976541 25.7928683, -80.1966611 25.7928986, -80.1966620 25.7929220))",Northwest 18th Street,right,99.6,12,
Northwest 18th Street (left),25.7927858,-80.1980341,"POLYGON((-80.1976519 25.7928091, -80.1984172 25.7927858, -80.1984163 25.7927624, -80.1976510 25.7927857, -80.1976519 25.7928091))",Northwest 18th Street,left,76.7,9,
Northwest 18th Street (right),25.7928683,-80.1980372,"POLYGON((-80.1976550 25.7928917, -80.1984203 25.7928684, -80.1984194 25.7928450, -80.1976541 25.7928683, -80.1976550 25.7928917))",Northwest 18th Street,right,76.7,9,
Northwest 18th Street (left),25.7927681,-80.1986131,"POLYGON((-80.1984172 25.7927858, -80.1988100 25.7927738, -80.1988091 25.7927504, -80.1984163 25.7927624, -80.1984172 25.7927858))",Northwest 18th Street,left,39.4,3,
Northwest 18th Street (right),25.7928507,-80.1986163,"POLYGON((-80.1984203 25.7928684, -80.1988131 25.7928564, -80.1988122 25.7928330, -80.1984194 25.7928450, -80.1984203 25.7928684))",Northwest 18th Street,right,39.4,3,
Northeast 13th Street (left),25.7869654,-80.1936864,"POLYGON((-80.1933167 25.7869879, -80.1940569 25.7869664, -80.1940561 25.7869430, -80.1933159 25.7869645, -80.1933167 25.7869879))",Northeast 13th Street,left,74.2,8,
Northeast 13th Street (right),25.7870481,-80.1936894,"POLYGON((-80.1933197 25.7870705, -80.1940599 25.7870490, -80.1940591 25.7870256, -80.1933189 25.7870471, -80.1933197 25.7870705))",Northeast 13th Street,right,74.2,8,
Brickell Bay Drive (left),25.7638417,-80.1895800,"POLYGON((-80.1895856 25.7654885, -80.1896004 25.7621951, -80.1895745 25.7621950, -80.1895596 25.7654884, -80.1895856 25.7654885))",Brickell Bay Drive,left,366.6,52,
Brickell Bay Drive (right),25.7638421,-80.1896718,"POLYGON((-80.1896773 25.7654888, -80.1896922 25.7621954, -80.1896662 25.7621953, -80.1896514 25.7654887, -80.1896773 25.7654888))",Brickell Bay Drive,right,366.6,52,
Northwest 11th Terrace (left),25.7850823,-80.1942858,"POLYGON((-80.1940198 25.7851017, -80.1945525 25.7850863, -80.1945517 25.7850629, -80.1940190 25.7850783, -80.1940198 25.7851017))",Northwest 11th Terrace,left,53.4,5,
Northwest 11th Terrace (right),25.7851649,-80.1942887,"POLYGON((-80.1940228 25.7851843, -80.1945555 25.7851689, -80.1945547 25.7851455, -80.1940220 25.7851609, -80.1940228 25.7851843))",Northwest 11th Terrace,right,53.4,5,
Northwest 11th Terrace (left),25.7849823,-80.1967779,"POLYGON((-80.1964322 25.7850022, -80.1971242 25.7849859, -80.1971236 25.7849625, -80.1964316 25.7849788, -80.1964322 25.7850022))",Northwest 11th Terrace,left,69.4,8,
Northwest 11th Terrace (right),25.7850650,-80.1967803,"POLYGON((-80.1964346 25.7850848, -80.1971266 25.7850685, -80.1971260 25.7850451, -80.1964340 25.7850614, -80.1964346 25.7850848))",Northwest 11th Terrace,right,69.4,8,
Herald Plaza (left),25.7877874,-80.1865193,"POLYGON((-80.1864869 25.7872570, -80.1865258 25.7883185, -80.1865517 25.7883178, -80.1865128 25.7872563, -80.1864869 25.7872570))",Herald Plaza,left,118.2,15,
Herald Plaza (right),25.7877901,-80.1864276,"POLYGON((-80.1863952 25.7872597, -80.1864341 25.7883212, -80.1864600 25.7883205, -80.1864211 25.7872590, -80.1863952 25.7872597))",Herald Plaza,right,118.2,15,
Northeast 10th Street (left),25.7838933,-80.1915932,"POLYGON((-80.1922855 25.7838620, -80.1909000 25.7839012, -80.1909008 25.7839246, -80.1922863 25.7838854, -80.1922855 25.7838620))",Northeast 10th Street,left,138.9,18,
Northeast 10th Street (right),25.7838107,-80.1915903,"POLYGON((-80.1922827 25.7837794, -80.1908972 25.7838186, -80.1908980 25.7838420, -80.1922835 25.7838028, -80.1922827 25.7837794))",Northeast 10th Street,right,138.9,18,
Southeast 3rd Street (left),25.7717395,-80.1893003,"POLYGON((-80.1896796 25.7717165, -80.1889201 25.7717391, -80.1889209 25.7717625, -80.1896804 25.7717399, -80.1896796 25.7717165))",Southeast 3rd Street,left,76.2,9,
Southeast 3rd Street (right),25.7716569,-80.1892972,"POLYGON((-80.1896766 25.7716339, -80.1889171 25.7716565, -80.1889179 25.7716799, -80.1896774 25.7716573, -80.1896766 25.7716339))",Southeast 3rd Street,right,76.2,9,
Southeast 11th Street (left),25.7634796,-80.1929920,"POLYGON((-80.1927737 25.7634857, -80.1932096 25.7634970, -80.1932104 25.7634736, -80.1927744 25.7634623, -80.1927737 25.7634857))",Southeast 11th Street,left,43.7,4,
Southeast 11th Street (right),25.7635623,-80.1929894,"POLYGON((-80.1927710 25.7635683, -80.1932070 25.7635796, -80.1932077 25.7635562, -80.1927718 25.7635449, -80.1927710 25.7635683))",Southeast 11th Street,right,43.7,4,
Northwest 16th Terrace (left),25.7909282,-80.1994029,"POLYGON((-80.1987928 25.7909590, -80.2000140 25.7909207, -80.2000131 25.7908973, -80.1987919 25.7909356, -80.1987928 25.7909590))",Northwest 16th Terrace,left,122.5,16,
Northwest 16th Terrace (right),25.7910107,-80.1994061,"POLYGON((-80.1987959 25.7910416, -80.2000171 25.7910033, -80.2000162 25.7909799, -80.1987950 25.7910182, -80.1987959 25.7910416))",Northwest 16th Terrace,right,122.5,16,
Southwest 5th Avenue (left),25.7616748,-80.2046982,"POLYGON((-80.2049971 25.7614524, -80.2043834 25.7618787, -80.2043992 25.7618972, -80.2050129 25.7614709, -80.2049971 25.7614524))",Southwest 5th Avenue,left,77.7,9,
Southwest 5th Avenue (right),25.7616093,-80.2046421,"POLYGON((-80.2049411 25.7613869, -80.2043274 25.7618132, -80.2043432 25.7618317, -80.2049569 25.7614054, -80.2049411 25.7613869))",Southwest 5th Avenue,right,77.7,9,
Southwest 5th Avenue (left),25.7621707,-80.2039796,"POLYGON((-80.2043833 25.7618788, -80.2035602 25.7624440, -80.2035759 25.7624625, -80.2043990 25.7618973, -80.2043833 25.7618788))",Southwest 5th Avenue,left,103.8,13,
Southwest 5th Avenue (right),25.7621049,-80.2039239,"POLYGON((-80.2043276 25.7618131, -80.2035045 25.7623783, -80.2035202 25.7623968, -80.2043433 25.7618316, -80.2043276 25.7618131))",Southwest 5th Avenue,right,103.8,13,
Southwest 5th Avenue (left),25.7627324,-80.2031569,"POLYGON((-80.2035600 25.7624441, -80.2027382 25.7630022, -80.2027538 25.7630208, -80.2035756 25.7624627, -80.2035600 25.7624441))",Southwest 5th Avenue,left,103.2,13,
Southwest 5th Avenue (right),25.7626665,-80.2031017,"POLYGON((-80.2035048 25.7623781, -80.2026830 25.7629362, -80.2026986 25.7629548, -80.2035204 25.7623967, -80.2035048 25.7623781))",Southwest 5th Avenue,right,103.2,13,
Brickell Plaza (left),25.7649908,-80.1924277,"POLYGON((-80.1925493 25.7644950, -80.1922810 25.7654810, -80.1923061 25.7654866, -80.1925745 25.7645006, -80.1925493 25.7644950))",Brickell Plaza,left,113.0,14,
Brickell Plaza (right),25.7649711,-80.1923386,"POLYGON((-80.1924602 25.7644753, -80.1921918 25.7654613, -80.1922170 25.7654669, -80.1924853 25.7644809, -80.1924602 25.7644753))",Brickell Plaza,right,113.0,14,
Brickell Plaza (left),25.7659715,-80.1921882,"POLYGON((-80.1922816 25.7654782, -80.1920694 25.7664604, -80.1920949 25.7664649, -80.1923071 25.7654827, -80.1922816 25.7654782))",Brickell Plaza,left,111.4,14,
Brickell Plaza (right),25.7659558,-80.1920982,"POLYGON((-80.1921915 25.7654624, -80.1919793 25.7664446, -80.1920048 25.7664491, -80.1922170 25.7654669, -80.1921915 25.7654624))",Brickell Plaza,right,111.4,14,
Southeast 1st Avenue (left),25.7714782,-80.1919197,"POLYGON((-80.1919655 25.7713314, -80.1918495 25.7716170, -80.1918739 25.7716250, -80.1919898 25.7713394, -80.1919655 25.7713314))",Southeast 1st Avenue,left,33.8,2,
Southeast 1st Avenue (right),25.7714498,-80.1918335,"POLYGON((-80.1918793 25.7713030, -80.1917634 25.7715886, -80.1917877 25.7715966, -80.1919037 25.7713110, -80.1918793 25.7713030))",Southeast 1st Avenue,right,33.8,2,
Northeast 13th Terrace (left),25.7876424,-80.1923973,"POLYGON((-80.1933369 25.7876030, -80.1914568 25.7876584, -80.1914577 25.7876818, -80.1933378 25.7876264, -80.1933369 25.7876030))",Northeast 13th Terrace,left,188.5,25,
Northeast 13th Terrace (right),25.7875598,-80.1923943,"POLYGON((-80.1933339 25.7875204, -80.1914538 25.7875758, -80.1914547 25.7875992, -80.1933348 25.7875438, -80.1933339 25.7875204))",Northeast 13th Terrace,right,188.5,25,
Southeast 2nd Street (left),25.7725550,-80.1910189,"POLYGON((-80.1901768 25.7725905, -80.1918618 25.7725430, -80.1918610 25.7725196, -80.1901760 25.7725671, -80.1901768 25.7725905))",Southeast 2nd Street,left,169.0,22,
Southeast 2nd Street (right),25.7726377,-80.1910218,"POLYGON((-80.1901797 25.7726731, -80.1918647 25.7726256, -80.1918639 25.7726022, -80.1901789 25.7726497, -80.1901797 25.7726731))",Southeast 2nd Street,right,169.0,22,
Northwest 14th Street (left),25.7882090,-80.1948996,"POLYGON((-80.1946750 25.7882292, -80.1951253 25.7882122, -80.1951242 25.7881888, -80.1946739 25.7882058, -80.1946750 25.7882292))",Northwest 14th Street,left,45.2,4,
